project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,dccd322230,6153597bf5,1828
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,e0826d3549,94c708f767,636
Hystrix,HystrixCommandAspect.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/aop/aspectj/HystrixCommandAspect.java,94ff54dce9,90b032073d,10
Hystrix,HystrixCommandAsyncDemo.java,hystrix-examples/src/main/java/com/netflix/hystrix/examples/demo/HystrixCommandAsyncDemo.java,b4e3ef8675,b6ae642ed2,58
Hystrix,HystrixCommandCompletion.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HystrixCommandCompletion.java,ade2b66afd,eb2ede5d80,32
Hystrix,HystrixCommandConfiguration.java,hystrix-core/src/main/java/com/netflix/hystrix/config/HystrixCommandConfiguration.java,6d4bfe38e7,bf2e576c4c,29
Hystrix,HystrixCommandConstructed.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HystrixCommandConstructed.java,ade2b66afd,eb2ede5d80,19
Hystrix,HystrixCommandDemo.java,hystrix-examples/src/main/java/com/netflix/hystrix/examples/demo/HystrixCommandDemo.java,e4033fb192,a638dcd262,42
Hystrix,HystrixCommandEventStreamTest.java,hystrix-core/src/test/java/com/netflix/hystrix/metric/HystrixCommandEventStreamTest.java,757c3895b3,86c37f10de,355
Hystrix,HystrixCommandEventStreamTest.java,hystrix-core/src/test/java/com/netflix/hystrix/metric/HystrixCommandEventStreamTest.java,86c37f10de,fa4b7e2c1e,6
Hystrix,HystrixCommandEventStreamTest.java,hystrix-core/src/test/java/com/netflix/hystrix/metric/HystrixCommandEventStreamTest.java,ade2b66afd,eb2ede5d80,371
Hystrix,HystrixCommandExecution.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HystrixCommandExecution.java,86c37f10de,fa4b7e2c1e,6
Hystrix,HystrixCommandExecutionStarted.java,hystrix-core/src/main/java/com/netflix/hystrix/metric/HystrixCommandExecutionStarted.java,ade2b66afd,eb2ede5d80,15
Hystrix,HystrixCommandGroupKey.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandGroupKey.java,35af9d2fa2,c45c2085a4,15
Hystrix,HystrixCommandKey.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandKey.java,35af9d2fa2,c45c2085a4,9
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,2ff16ff5c7,3e8cb9418f,54
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,3d180d324f,f76263dc76,30
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,6aacadc0dc,37a1695a1e,33
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,86c37f10de,fa4b7e2c1e,105
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,a68a0bc6c8,e40dcab0ee,7
Hystrix,HystrixCommandMetrics.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommandMetrics.java,fa4b7e2c1e,745eeaa123,26
